,item,brand,retail,release,lowestAsk,numberOfAsks,salesThisPeriod,highestBid,numberOfBids,annualHigh,annualLow,volatility,deadstockSold,averageDeadstockPrice,lastSale,changePercentage
980,Nike Dunk Low Photon Dust (W),Nike,100,2021-05-19,307,187,12,354,155,560,185,0.062737,6192,282,376,0.212903
981,adidas Yeezy Boost 700 MNVN Honey Flux,Adidas,220,2021-09-20,175,433,12,190,125,500,120,0.142398,5859,219,244,0.004115
982,Converse Chuck Taylor All-Star 70 Hi Off-White,Converse,130,2018-10-08,268,373,12,500,137,600,150,0.166235,5858,288,245,-0.177852
983,Jordan 1 Mid Oakland,Nike,125,2020-10-08,130,312,12,156,121,441,106,0.117576,5337,152,143,0.1
984,Jordan 11 Retro Jubilee (GS),Nike,180,2020-12-12,142,458,12,220,56,302,112,0.192625,5193,216,229,0.612676
985,Jordan 2 Retro Low SP Off-White Black Blue,Nike,250,2021-11-12,273,664,12,450,201,1421,255,0.083302,5089,464,380,-0.061728
986,New Balance 550 Aime Leon Dore White Grey,New Balance,130,2020-10-09,349,278,12,580,191,1400,185,0.085311,4850,307,405,0.128134
987,New Balance 550 Aime Leon Dore White Green,New Balance,130,2020-10-09,346,237,12,600,147,1539,178,0.471171,4260,300,365,0.10126
988,Nike Dunk Low Free 99 Black,Nike,110,2021-06-08,146,258,12,205,119,312,111,0.138766,4138,174,179,0.071856
989,Jordan 5 Retro White Stealth (2021),Nike,190,2021-03-27,215,407,12,220,146,378,139,0.103243,4114,237,334,0.457386
990,Jordan 1 Low Game Royal,Nike,90,2020-07-24,180,228,12,228,173,366,126,0.11523,3797,191,268,0.448649
991,Jordan 12 Retro Low Easter (2021),Nike,200,2021-04-03,179,590,12,221,102,304,105,0.099971,3782,199,179,-0.105
992,Nike Air Max BW OG Persian Violet (2021),Nike,130,2021-09-09,132,192,12,180,130,896,114,0.174962,3609,192,231,0.245625
993,Jordan 1 Retro High Tokyo Bio Hack (GS),Nike,140,2020-09-04,146,248,12,200,66,364,90,0.193716,3433,219,215,0.264706
994,Nike Air Max 90 Infrared (2020),Nike,140,2020-11-09,101,318,12,210,234,307,50,0.150413,3038,174,260,0.305835
995,Nike Air Force 1 Low G-Dragon Peaceminusone Para-Noise 2.0,Nike,200,2020-11-25,199,429,12,544,206,742,180,0.14806,2650,448,560,0.056604
996,Jordan 1 Retro High Black Satin Gym Red,Nike,170,2020-01-18,139,338,12,250,167,385,100,0.075806,2467,190,158,0.097222
997,Nike Air Max 90 Recraft Triple White,Nike,120,2020-01-09,97,181,12,101,92,217,43,0.138965,2407,123,102,-0.15
998,adidas Yeezy Boost 350 V2 Fade,Adidas,220,2020-11-11,235,198,12,375,102,600,119,0.174957,2383,304,250,-0.283668
999,Nike SB Dunk High Supreme By Any Means Navy,Nike,128,2022-03-03,155,463,12,220,171,490,128,0.146821,2224,237,155,-0.088235
